employee_id,first_name,last_name,region,hire_date
1,Linda,Johnson,North,2022-08-02
2,Sarah,Thomas,South,2023-02-27
3,William,Miller,West,2020-04-02
4,Melissa,Wright,East,2022-10-17
5,Donna,Ramirez,North,2019-06-28
6,Mary,Garcia,South,2019-03-07
7,Joseph,Allen,West,2020-03-23
8,Mary,Scott,East,2022-05-17
9,Amanda,Wright,North,2020-02-12
10,Joseph,Lewis,South,2021-05-09
11,Sarah,Smith,West,2022-04-21
12,David,Ramirez,East,2023-04-04
13,Sarah,Martinez,North,2020-11-27
14,Timothy,Perez,South,2020-03-16
15,Jennifer,Harris,West,2019-07-29
